,video,short-term_memorability,nb_short-term_annotations,long-term_memorability,nb_long-term_annotations
0,7494,0.8568940612049708,33,0.7676707778613425,12
1,7495,0.7904304852173556,34,0.7519673290832183,10
2,7496,0.9132612131706996,32,0.8160264345038788,13
3,7497,0.8827044006028615,33,0.7893865303661538,10
4,7498,0.8387425106253716,33,0.7580653179514237,10
5,7499,0.9008953197749656,33,0.7944605925452446,13
6,7500,0.8478911100949053,33,0.7746975380006622,10
7,7502,0.863950049714193,43,0.7932378844373398,15
8,7503,0.8825566038382835,33,0.7834031219578359,11
9,7504,0.8658606174547645,33,0.7807224909237434,15
10,7505,0.8176496745448868,38,0.7705781415463875,10
11,7506,0.8307879955052221,34,0.7711497350409421,10
12,7507,0.7969060757354557,34,0.7550415258796519,12
13,7508,0.863561129371371,33,0.7847272446768999,14
14,7510,0.8665743929972232,33,0.7750467742287793,11
15,7511,0.9004129396017451,34,0.8126102220753553,18
16,7513,0.8904155333634718,34,0.7843436860376787,19
17,7515,0.888058995531539,33,0.801356709991444,13
18,7516,0.9017706275792384,34,0.8065318623832178,11
19,7517,0.8400974089179332,33,0.741603976498687,13
20,7518,0.8851878380204508,33,0.7936751802397473,10
21,7519,0.8738926588149987,32,0.7727066090898423,10
22,7520,0.8478407604194073,33,0.7747787729319879,14
23,7521,0.8511416505655496,34,0.7741668407274539,14
24,7522,0.8975370976171932,33,0.8069697899945711,16
25,7523,0.8752320053822047,34,0.8205453189014392,14
26,7524,0.877030837590838,50,0.7888225506504766,22
27,7525,0.870834648898928,42,0.7926194778719062,10
28,7526,0.8409597179435411,31,0.7646523207845745,20
29,7527,0.8754720796205411,33,0.7783636755392118,17
30,7528,0.8282529700415828,32,0.7644859368309906,10
31,7530,0.8969472670986979,34,0.8052507121461909,11
32,7531,0.8675836341434182,33,0.7781814537315463,14
33,7532,0.8031762885558213,33,0.7664695266701038,14
34,7533,0.8786447670203308,34,0.8189841081115994,9
35,7534,0.87172247158188,34,0.7798677356651337,10
36,7535,0.8533778222248092,34,0.7665471199887115,10
37,7536,0.8564536111853277,46,0.7435176355129722,11
38,7538,0.8965619955693401,34,0.7808520520673548,10
39,7539,0.8692216581956204,32,0.7906565313340348,10
40,7540,0.8766796365697223,33,0.7884486866763888,10
41,7541,0.8789773099508487,35,0.7604684734840215,10
42,7542,0.92636802297551,33,0.8184444628622957,12
43,7543,0.7461282916494891,33,0.732009904260956,12
44,7544,0.8655915870832458,34,0.7945642563560285,11
45,7545,0.8940379148441882,33,0.8184867921970713,13
46,7546,0.872819659073462,34,0.7926619187064282,14
47,7548,0.868423842282681,38,0.7937180303932162,9
48,7549,0.8887740455224971,34,0.7822803745017064,13
49,7550,0.8922698066327296,56,0.7911197092064295,21
50,7552,0.7211856142437715,32,0.709117592413767,16
51,7554,0.8717750691861379,51,0.7920996121456275,24
52,7555,0.8561823555618473,55,0.7763930741251683,13
53,7556,0.8792828364564,33,0.7536343997767679,19
54,7558,0.7910624361193415,33,0.7517825608565558,16
55,7560,0.8779980390587293,33,0.7757490020110797,12
56,7562,0.8544876456312055,33,0.7869786796119957,10
57,7563,0.8996270623283861,32,0.8269889768839189,16
58,7565,0.8326604374854858,34,0.778827468579371,10
59,7566,0.9040412459705706,34,0.7820590013933182,13
60,7567,0.8177546388371324,32,0.732511644628008,12
61,7568,0.866881692992892,34,0.7838653537477647,13
62,7569,0.8402953435174072,43,0.7781952422763939,10
63,7571,0.891830138389871,32,0.8051078610753037,11
64,7572,0.9112514835430421,34,0.7985232746168855,11
65,7573,0.8512492304255161,37,0.7713440951916132,11
66,7574,0.8649044124840746,36,0.7901069119795503,12
67,7575,0.8537537330284468,34,0.7529715466824818,14
68,7576,0.8383309584651937,33,0.7460314867740647,12
69,7578,0.867873980247962,47,0.7801374836544572,11
70,7579,0.8884025457100273,33,0.764309756535907,15
71,7580,0.813547689052991,33,0.7673209019296153,17
72,7581,0.8580100014877645,33,0.7624056620376072,14
73,7582,0.8692544206848838,34,0.7759473254105855,10
74,7584,0.8570051432895522,34,0.7980898627382371,10
75,7585,0.9054816333378088,41,0.8033553171063106,16
76,7587,0.8563210010618333,33,0.7656341648363492,16
77,7588,0.8653950458633095,76,0.7937527892449958,16
78,7589,0.8588886001489666,35,0.7866333007245154,11
